tce,disp,score,flags,period,mes,duration
002972024-01,PC,0.304,EYEBALL---TOO_FEW_QUARTERS,142.12664455,7.5993,13.9102
003113213-01,PC,0.11,ABSENT_FLAG,107.46298659,7.858,2.567
003663039-01,PC,0.477,ABSENT_FLAG,149.07141778,7.3785,5.4417
003765758-01,PC,0.146,ABSENT_FLAG,143.45619618,7.1527,2.8432
003833405-01,PC,0.669,ABSENT_FLAG,50.6530998,8.6477,27.796
004662549-01,PC,0.036,EYEBALL---TOO_FEW_QUARTERS,112.08078056,7.3502,2.5753
005114557-01,PC,0.733,TOO_FEW_CENTROIDS,78.76143405,7.4269,22.2004
005287603-01,PC,0.176,ABSENT_FLAG,79.8236811,7.1881,4.0971
005462649-03,PC,0.204,ABSENT_FLAG,93.21168872,7.1813,4.3299
005467104-01,PC,0.031,ABSENT_FLAG,110.11228091,7.5204,1.6189
005803473-01,PC,0.18,ABSENT_FLAG,65.58697689,7.4465,2.1091
005888577-01,PC,0.161,EYEBALL---TOO_FEW_QUARTERS,65.06426223,7.9662,3.8528
005943771-01,PC,0.402,EYEBALL---TOO_FEW_QUARTERS,115.40774215,8.0533,22.9546
006290908-01,PC,0.13,ABSENT_FLAG,56.47554634,7.1634,2.1445
006357066-01,PC,0.097,EYEBALL---CLEAR_APO---TOO_FEW_QUARTERS,114.26838856,7.4054,2.9251
007007752-01,PC,0.246,TOO_FEW_QUARTERS,121.01413099,7.1808,15.4678
007815720-01,PC,0.112,ABSENT_FLAG,118.34173891,8.0061,2.9808
007830804-01,PC,0.083,EYEBALL---TOO_FEW_QUARTERS,76.64683259,7.515,5.6276
007907476-03,PC,0.198,EYEBALL---SATURATED,100.72173286,8.9127,4.9721
007985415-01,PC,0.066,EYEBALL---TOO_FEW_QUARTERS,61.47102208,7.6786,3.5273
008173678-01,PC,0.103,ABSENT_FLAG,112.0029901,7.3013,2.6422
008178906-01,PC,0.076,EYEBALL---CLEAR_APO---TOO_FEW_QUARTERS,148.75364254,7.1747,2.246
008247392-01,PC,0.256,ABSENT_FLAG,78.0255345,7.5094,7.222
008330189-01,PC,0.243,ABSENT_FLAG,87.97946196,8.3819,13.1596
008526691-01,PC,0.053,ABSENT_FLAG,121.13088595,7.2134,16.1648
008739335-01,PC,0.212,EYEBALL---LARGE_RM,59.15156771,7.2733,2.6308
009449320-01,PC,0.28,TOO_FEW_CENTROIDS,88.91318664,7.1728,1.9092
009580038-01,PC,0.068,EYEBALL---TOO_FEW_QUARTERS,141.26535117,7.4982,5.9222
009635815-01,PC,0.072,ABSENT_FLAG,74.91212172,7.16,2.9157
010427689-01,PC,0.157,TOO_FEW_CENTROIDS,115.48855098,7.2748,4.9435
010488450-08,PC,0.024,ABSENT_FLAG,124.51595848,8.2601,3.2857
010579698-01,PC,0.299,TOO_FEW_QUARTERS,61.10094087,7.4644,20.6633
010684215-01,PC,0.024,EYEBALL---CLEAR_APO---TOO_FEW_QUARTERS,91.04753011,7.3977,2.633
011139696-01,PC,0.152,TOO_FEW_QUARTERS,62.72018388,7.7553,2.5855
011714421-01,PC,0.266,EYEBALL---TOO_FEW_QUARTERS,54.02297404,7.3555,4.8959
